corte	cv	rep	ALT	MSA	PSA	PMST
1	T1	1	140,00	13,48	4662,58	4662,58
1	T1	2	120,50	11,83	2814,44	2814,44
1	T1	3	109,00	24,72	4870,32	4870,32
1	T2	1	114,00	15,18	6906,83	6906,83
1	T2	2	135,00	12,05	6870,77	6870,77
1	T2	3	102,00	14,97	4729,94	4729,94
1	T3	1	94,00	13,77	3677,16	3677,16
1	T3	2	100,00	14,89	2471,03	2471,03
1	T3	3	98,00	13,49	3493,57	3493,57
1	T4	1	124,50	13,67	3366,17	3688,17
1	T4	2	123,50	12,59	3164,17	3339,17
1	T4	3	106,00	13,71	2040,14	2230,14
1	T5	1	125,50	15,60	3744,91	4136,91
1	T5	2	158,50	13,22	5228,54	5585,54
1	T5	3	118,00	14,84	3165,69	3398,69
1	T6	1	88,50	14,21	4138,49	4175,49
1	T6	2	98,00	15,40	3244,05	3695,05
1	T6	3	94,00	16,67	3420,33	3586,33
1	T7	1	111,00	13,24	5362,53	5542,53
1	T7	2	94,00	15,94	2040,20	2040,20
1	T7	3	101,50	15,92	4457,63	4707,63
1	T8	1	83,00	16,77	1995,09	2493,37
1	T8	2	85,00	16,10	1819,27	2401,24
1	T8	3	83,00	18,27	1936,10	2247,10
1	T9	1	81,50	16,82	2185,30	2698,30
1	T9	2	99,50	16,22	2307,85	2806,85
1	T9	3	90,00	24,35	2897,48	3810,13

