corte	cv	rep	ALT	MSA	PSA	PMST
1	T1	1	140,00	13,48	4662,58	4662,58
1	T1	2	120,50	11,83	2814,44	2814,44
1	T1	3	109,00	24,72	4870,32	4870,32
1	T2	1	114,00	15,18	6906,83	6906,83
1	T2	2	135,00	12,05	6870,77	6870,77
1	T2	3	102,00	14,97	4729,94	4729,94
1	T3	1	94,00	13,77	3677,16	3677,16
1	T3	2	100,00	14,89	2471,03	2471,03
1	T3	3	98,00	13,49	3493,57	3493,57
1	T4	1	124,50	13,67	3366,17	3688,17
1	T4	2	123,50	12,59	3164,17	3339,17
1	T4	3	106,00	13,71	2040,14	2230,14
1	T5	1	125,50	15,60	3744,91	4136,91
1	T5	2	158,50	13,22	5228,54	5585,54
1	T5	3	118,00	14,84	3165,69	3398,69
1	T6	1	88,50	14,21	4138,49	4175,49
1	T6	2	98,00	15,40	3244,05	3695,05
1	T6	3	94,00	16,67	3420,33	3586,33
1	T7	1	111,00	13,24	5362,53	5542,53
1	T7	2	94,00	15,94	2040,20	2040,20
1	T7	3	101,50	15,92	4457,63	4707,63
1	T8	1	83,00	16,77	1995,09	2493,37
1	T8	2	85,00	16,10	1819,27	2401,24
1	T8	3	83,00	18,27	1936,10	2247,10
1	T9	1	81,50	16,82	2185,30	2698,30
1	T9	2	99,50	16,22	2307,85	2806,85
1	T9	3	90,00	24,35	2897,48	3810,13
2	T1	1	84,50	12,80	3136,45	3136,45
2	T1	2	83,50	14,38	2704,01	2704,01
2	T1	3	76,00	15,01	2071,54	2071,54
2	T2	1	81,50	15,66	4808,07	4808,07
2	T2	2	96,00	13,89	3680,84	3680,84
2	T2	3	96,50	17,06	5765,08	5765,08
2	T3	1	89,00	13,46	3028,97	3028,97
2	T3	2	76,50	15,51	3413,17	3413,17
2	T3	3	75,00	12,66	2887,43	2887,43
2	T4	1	64,00	16,24	1364,50	3537,16
2	T4	2	84,50	17,34	953,50	3014,00
2	T4	3	87,00	15,54	543,98	3301,41
2	T5	1	71,50	17,90	877,14	2213,64
2	T5	2	77,00	10,63	977,82	3336,64
2	T5	3	96,00	18,37	955,18	3363,30
2	T6	1	104,50	15,53	5295,90	5976,72
2	T6	2	102,50	12,27	3826,81	4518,75
2	T6	3	99,50	16,51	5265,75	6212,07
2	T7	1	101,50	14,87	4788,48	5351,52
2	T7	2	105,00	18,45	6033,86	7005,73
2	T7	3	86,50	16,43	4502,52	5728,64
2	T8	1	89,50	14,38	2688,86	4572,79
2	T8	2	89,00	15,81	1439,11	4025,29
2	T8	3	68,50	17,45	2216,65	4540,88
2	T9	1	93,50	14,05	2656,26	5462,23
2	T9	2	85,50	15,65	2301,10	4274,51
2	T9	3	102,50	12,90	1457,77	3996,73
3	T1	1	131,00	30,01	4560,99	4560,99
3	T1	2	114,00	23,90	2677,15	2677,15
3	T1	3	148,50	29,99	3238,75	3238,75
3	T2	1	82,50	29,76	3422,83	3422,83
3	T2	2	124,00	30,08	3970,73	3970,73
3	T2	3	131,50	28,95	3329,03	3329,03
3	T3	1	101,50	25,99	779,77	779,77
3	T3	2	100,50	28,32	1840,50	1840,50
3	T3	3	109,00	26,26	3571,11	3571,11
3	T4	1	97,50	36,79	235,47	5605,26
3	T4	2	74,50	31,93	766,42	4383,79
3	T4	3	60,50	36,97	195,96	5054,02
3	T5	1	90,00	34,15	1263,41	5260,99
3	T5	2	124,50	35,87	2833,97	5769,11
3	T5	3	98,00	32,69	1045,93	4785,93
3	T6	1	91,00	30,98	2881,09	5102,23
3	T6	2	76,00	31,91	606,23	2431,60
3	T6	3	75,50	33,21	830,18	2858,93
3	T7	1	83,00	31,83	2132,61	4763,93
3	T7	2	81,00	30,22	1178,55	2413,98
3	T7	3	81,50	29,41	1882,48	3404,20
3	T8	1	61,50	34,49	251,76	4267,57
3	T8	2	70,50	37,81	302,45	6677,79
3	T8	3	53,50	33,95	67,90	4836,71
3	T9	1	55,50	29,69	475,00	4059,23
3	T9	2	66,50	29,24	467,87	3536,29
3	T9	3	81,00	31,22	227,94	4670,03
4	T1	1	60,50	26,05	1068,01	1068,01
4	T1	2	67,00	26,49	582,71	582,71
4	T1	3	62,50	23,58	636,57	636,57
4	T2	1	0,00	0,00	0,00	0,00
4	T2	2	0,00	0,00	0,00	0,00
4	T2	3	61,50	29,13	305,87	305,87
4	T3	1	0,00	0,00	0,00	0,00
4	T3	2	0,00	0,00	0,00	0,00
4	T3	3	60,50	24,56	442,09	442,09
4	T4	1	35,50	0,00	0,00	3000,97
4	T4	2	42,50	0,00	0,00	4127,76
4	T4	3	43,00	0,00	0,00	3363,53
4	T5	1	32,50	23,21	97,00	1526,44
4	T5	2	78,00	20,85	1022,00	2727,90
4	T5	3	32,50	24,63	67,00	2281,92
4	T6	1	45,00	0,00	0,00	2787,73
4	T6	2	34,50	0,00	0,00	1957,19
4	T6	3	41,50	0,00	0,00	2394,44
4	T7	1	34,00	0,00	0,00	2148,63
4	T7	2	44,50	0,00	0,00	2173,25
4	T7	3	44,50	0,00	0,00	2352,10
4	T8	1	35,50	0,00	0,00	1932,69
4	T8	2	45,00	0,00	0,00	3105,29
4	T8	3	39,50	0,00	0,00	3321,24
4	T9	1	35,00	0,00	0,00	2605,39
4	T9	2	35,00	30,80	85,00	2115,21
4	T9	3	43,50	30,77	64,00	3479,94
